binary-trees (runtime),binary-trees (energy),fannkuch-redux (runtime),fannkuch-redux (energy),fasta (runtime),fasta (energy),mandelbrot (runtime),mandelbrot (energy),n-body (runtime),n-body (energy),pidigits (runtime),pidigits (energy),regex-redux (runtime),regex-redux (energy),reverse-complement (runtime),reverse-complement (energy),spectral-norm (runtime),spectral-norm (energy)
2.8024559020996094,24.53417358624618,16.251336812973022,22.495171314741036,1.3429529666900635,21.420393167201738,4.744120121002197,21.857336478034476,4.556861877441406,16.078214944361005,,,7.0374181270599365,22.73246171267492,0.6487581729888916,20.767791945523612,1.6429388523101807,18.10859959707637
2.94909930229187,24.355179093376435,15.286225080490112,23.073919644022908,1.3085322380065918,21.744962522449875,4.751037359237671,22.050259905162285,4.539951801300049,16.071097695851318,,,7.044849634170532,23.415433453915398,0.7344810962677002,20.42921758245944,1.543724775314331,17.734801667983266
2.828242540359497,24.444430981445556,15.261380434036255,23.00859015442648,1.3055152893066406,21.373432260247284,4.739822149276733,21.927293794926012,4.589382648468018,15.988224073310773,,,7.248905181884766,22.953968520631904,0.7343661785125732,20.01974534071965,1.5554673671722412,17.59766996355663
2.7769057750701904,24.554165321017084,15.371346950531006,23.122516280568714,1.373706340789795,19.04974615305234,4.763276100158691,20.38285094024041,4.579722166061401,14.565343828534713,,,6.810879707336426,22.083259794512152,0.7084236145019531,19.980711737451845,1.6245412826538086,17.991358377857956
2.776719808578491,24.268665331071173,15.263271808624268,22.885439937756534,1.4001386165618896,21.296255789648022,4.815474271774292,20.047036051977557,4.533381462097168,14.178842471472674,,,7.153648614883423,22.66820801767156,0.7484006881713867,19.424504535213817,1.65283203125,17.279559249703883
2.9577174186706543,23.94290130341733,15.229000329971313,22.84752789851692,1.210684061050415,21.499765529539975,4.748032331466675,21.840304838293935,4.585630416870117,15.854989819631518,,,7.136641025543213,22.12502928269995,0.7125537395477295,19.360640773976446,1.5103034973144531,17.61128997354895
2.8431556224823,24.625175870296427,16.199450254440308,22.70257896954181,1.3020963668823242,21.236515656761053,4.744690656661987,21.824136027242535,4.6061224937438965,15.907372000672053,,,7.244647264480591,22.78494129032383,0.7701089382171631,21.125359481024198,1.5394647121429443,17.552852163265676
2.8529322147369385,24.034013519626797,15.316507816314697,22.893907732683967,1.3124361038208008,21.420091699672156,4.734622955322266,21.816752291404136,4.5859129428863525,16.021402763634335,,,6.792860269546509,22.35214976645725,0.683119535446167,19.93753134398627,1.560814619064331,17.429789487230874
2.798633337020874,24.587820533201775,15.30681562423706,22.774618025164525,1.3239891529083252,19.695817602442354,4.756854295730591,20.240971361074095,4.600765943527222,14.296362843345607,,,6.8608434200286865,22.39377364355908,0.6578552722930908,19.934888877077622,1.5429320335388184,17.48354745860633
2.776782989501953,24.700198526139637,15.264526605606079,22.793012849672614,1.3181114196777344,21.107080347024556,4.754719972610474,21.766012914383435,4.577277183532715,15.838509843151732,,,6.889050722122192,22.029910335177412,0.6290786266326904,20.31399960954798,1.6898670196533203,16.077246884820326
